,ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Direction,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Direction,Altitude,Latitude Decimal Degrees,Longitude Decimal Degrees
2824,FZQM,KWZ,KOLWEZI,KOLWEZI,ZAIRE,10,45,57,S,25,30,20,E,1527,-10.766,25.506
2833,FZRF,FMI,KALEMIE,KALEMIE,ZAIRE,5,52,32,S,29,15,0,E,784,-5.876,29.25
2841,FZSA,KMN,KAMINA BASE,KAMINA BASE,ZAIRE,8,38,31,S,25,15,10,E,1080,-8.642,25.253
2852,FZUA,KGA,KANANGA,KANANGA,ZAIRE,5,54,0,S,22,28,9,E,652,-5.9,22.469
2888,FZWA,MJM,MBUJI MAYI,MBUJI-MAYI,ZAIRE,6,7,16,S,23,34,8,E,677,-6.121,23.569
2902,GABS,BKO,BAMAKO SENOU,BAMAKO,MALI,12,32,0,N,7,56,59,W,381,12.533,-7.95
2908,GAGO,GAQ,GAO,GAO,MALI,16,14,54,N,0,0,19,W,265,16.248,-0.005
2917,GAKY,KYS,KAYES,KAYES,MALI,14,25,52,N,11,26,22,W,50,14.431,-11.439
2919,GAMB,MZI,MOPTI AMBODEDJO,MOPTI,MALI,14,30,46,N,4,4,46,W,277,14.513,-4.079
2923,GANR,NIX,NIORO,NIORO,MALI,15,14,19,N,9,34,35,W,238,15.239,-9.576
2927,GATB,TOM,TOMBOUCTOU,TOMBOUCTOU,MALI,16,43,49,N,3,0,27,W,264,16.73,-3.007
2931,GBYD,BJL,BANJUL INTERNATIONAL,BANJUL,GAMBIA,13,20,16,N,16,39,7,W,29,13.338,-16.652
2932,GCFV,FUE,FUERTEVENTURA,FUERTEVENTURA,CANARY ISLANDS,28,27,9,N,13,51,49,W,22,28.453,-13.864
2933,GCHI,VDE,HIERRO,HIERRO,CANARY ISLANDS,27,48,53,N,17,53,13,W,32,27.815,-17.887
2934,GCLA,SPC,LA PALMA,SANTA CRUZ DE LA PALMA,SPAIN,28,37,35,N,17,45,20,W,33,28.626,-17.756
2935,GCLP,LPA,GRAN CANARIA,GRAN CANARIA,CANARY ISLANDS,27,55,54,N,15,23,11,W,24,27.932,-15.386
2936,GCRR,ACE,LANZAROTE,LANZEROTE,CANARY ISLANDS,28,56,43,N,13,36,18,W,15,28.945,-13.605
2937,GCTS,TFS,TENERIFE SUR,TENERIFE,CANARY ISLANDS,28,2,40,N,16,34,20,W,64,28.044,-16.572
2938,GCXO,TFN,TENERIFE NORTE,TENERIFE,CANARY ISLANDS,28,28,57,N,16,20,29,W,632,28.482,-16.341
2940,GEML,MLN,MELILLA,MELILLA,SPANISH NORTH AFRICA,35,16,47,N,2,57,22,W,48,35.28,-2.956
2944,GFHA,HGS,HASTINGS,HASTINGS,SIERRA LEONE,8,23,40,N,13,7,42,W,19,8.394,-13.128
2947,GFLL,FNA,FREETOWN LUNGI,FREETOWN,SIERRA LEONE,8,36,59,N,13,11,43,W,26,8.616,-13.195
2968,GGOV,BXO,BISSAU OSWALDO VIEIRA INTERNATIONAL,BISSAU,GUINEA BISSAU,11,53,41,N,15,39,13,W,40,11.895,-15.654
2979,GLMR,MLW,MONROVIA SPRIGGS PAYNE,MONROVIA,LIBERIA,6,17,20,N,10,45,31,W,8,6.289,-10.759
2981,GLRB,ROB,MONROVIA ROBERTS INTERNATIONAL,MONROVIA,LIBERIA,6,14,1,N,10,21,44,W,10,6.234,-10.362
2986,GMAA,AGA,INEZGANE,AGADIR,MOROCCO,30,22,52,N,9,32,46,W,28,30.381,-9.546
2987,GMAT,TTA,PLAGE BLANCHE,TAN TAN,MOROCCO,28,26,53,N,11,9,40,W,200,28.448,-11.161
2990,GMFF,FEZ,SAISS,FEZ,MOROCCO,33,55,38,N,4,58,40,W,580,33.927,-4.978
2992,GMFK,ERH,MOULAY ALI CHERIF,ER-RACHIDIA,MOROCCO,31,56,56,N,4,24,2,W,1045,31.949,-4.401
2993,GMFM,MEK,BASSATINE,MEKNES,MOROCCO,33,52,44,N,5,30,54,W,577,33.879,-5.515
2995,GMFO,OUD,ANGADS,OUJDA,MOROCCO,34,47,13,N,1,55,26,W,468,34.787,-1.924
3000,GMMC,CAS,ANFA,CASABLANCA,MOROCCO,33,33,12,N,7,39,41,W,62,33.553,-7.661
3002,GMME,RBA,SALE,RABAT,MOROCCO,34,3,5,N,6,45,5,W,85,34.051,-6.751
3003,GMMF,SII,SIDI IFNI,SIDI IFINI,MOROCCO,29,22,8,N,10,10,48,W,58,29.369,-10.18
3007,GMMN,CMN,MOHAMMED V,CASABLANCA,MOROCCO,33,22,4,N,7,35,16,W,200,33.368,-7.588
3011,GMMX,RAK,MENARA,MARRAKECH,MOROCCO,31,36,24,N,8,2,10,W,468,31.607,-8.036
3012,GMMY,NNA,KENITRA,KENTIRA,MOROCCO,34,17,56,N,6,35,45,W,5,34.299,-6.596
3013,GMMZ,OZZ,OUARZAZATE,OUARZAZATE,MOROCCO,30,56,20,N,6,54,33,W,1154,30.939,-6.909
3014,GMTA,AHU,CHERIF EL IDRISSI,AL HOCIEMA,MOROCCO,35,10,37,N,3,50,22,W,28,35.177,-3.839
3015,GMTN,TTU,SANIAT RMEL,TETOUAN,MOROCCO,35,35,39,N,5,19,12,W,4,35.594,-5.32
3016,GMTT,TNG,IBN BATOUTA,TANGER,MOROCCO,35,43,36,N,5,55,0,W,19,35.727,-5.917
3017,GOGG,ZIG,ZIGUINCHOR,ZIGUINCHOR,SENEGAL,12,33,20,N,16,16,54,W,23,12.556,-16.282
3018,GOGK,KDA,KOLDA,KOLDA,SENEGAL,12,52,48,N,14,57,19,W,1,12.88,-14.955
3019,GOGS,CSK,CAP SKIRING,CAP SKIRING,SENEGAL,12,24,36,N,16,44,46,W,16,12.41,-16.746
3022,GOOK,KLC,KAOLACK,KAOLACK,SENEGAL,14,8,48,N,16,3,4,W,8,14.147,-16.051
3023,GOOY,DKR,LEOPOLD SEDAR SENGHOR INTERNATIONAL,DAKAR,SENEGAL,14,44,22,N,17,29,24,W,26,14.739,-17.49
3027,GOSS,XLS,SAINT LOUIS,ST. LOUIS,SENEGAL,16,2,59,N,16,27,40,W,3,16.05,-16.461
3028,GOTB,BXE,BAKEL,BAKEL,SENEGAL,14,50,50,N,12,28,5,W,30,14.847,-12.468
3029,GOTK,KGG,KEDOUGOU,KEDOUGOU,SENEGAL,12,34,20,N,12,13,13,W,179,12.572,-12.22
3032,GOTT,TUD,TAMBACOUNDA,TAMBACOUNDA,SENEGAL,13,44,12,N,13,39,11,W,50,13.737,-13.653
3033,GQNA,IEO,AIOUN EL ATROUSS,AIOUN EL ATROUSS,MAURITANIA,16,42,40,N,9,38,16,W,290,16.711,-9.638
3036,GQND,TIY,TIDJIKJA,TIDJIKJA,MAURITANIA,18,34,13,N,11,25,23,W,41,18.57,-11.423
3038,GQNF,KFA,KIFFA,KIFFA,MAURITANIA,16,35,23,N,11,24,22,W,129,16.59,-11.406
3039,GQNI,EMN,NEMA,NEMA,MAURITANIA,16,37,19,N,7,18,52,W,232,16.622,-7.314
3041,GQNK,KED,KAEDI,KAEDI,MAURITANIA,16,9,34,N,13,30,27,W,23,16.159,-13.508
3044,GQNN,NKC,NOUAKCHOTT,NOUAKSCHOTT,MAURITANIA,18,5,52,N,15,56,52,W,3,18.098,-15.948
3046,GQNS,SEY,SELIBADY,SELIBABI,MAURITANIA,15,10,46,N,12,12,26,W,80,15.179,-12.207
3049,GQPA,ATR,ATAR,ATAR,MAURITANIA,20,30,24,N,13,2,35,W,232,20.507,-13.043
3051,GQPP,NDB,NOUADHIBOU,NOUADHIBOU,MAURITANIA,20,55,42,N,17,1,52,W,5,20.928,-17.031
3056,GUFA,FIG,FRIA,FIRA,GUINEA,10,21,2,N,13,34,9,W,152,10.351,-13.569
3057,GUFH,FAA,FARANAH,FARANAH,GUINEA,10,2,8,N,10,46,11,W,450,10.036,-10.77
3061,GULB,LEK,LABE,LABE,GUINEA,11,19,34,N,12,17,13,W,1036,11.326,-12.287
3062,GUMA,MCA,MACENTA,MACENTA,GUINEA,8,28,52,N,9,31,33,W,516,8.481,-9.526
3063,GUNZ,NZE,NZEREKORE,N'ZEREKORE,GUINEA,7,48,21,N,8,42,6,W,506,7.806,-8.702
3069,GVAC,SID,AMILCAR CABRAL INTERNATIONAL,AMILCAR CABRAL,CAPE VERDE ISLANDS,16,44,29,N,22,56,58,W,54,16.741,-22.949
3070,GVBA,BVC,RABIL,BOA VISTA,CAPE VERDE ISLANDS,16,8,12,N,22,53,20,W,22,16.137,-22.889
3071,GVFM,RAI,FRANCISCO MENDES,FRANCISCO MENDEZ,CAPE VERDE ISLANDS,14,55,28,N,23,29,36,W,71,14.924,-23.493
3072,GVMA,MMO,MAIO,MAIO,CAPE VERDE ISLANDS,15,9,21,N,23,12,49,W,11,15.156,-23.214
3076,GVSN,SNE,PREGUICA,SAO NOCOLAU ISLAND,CAPE VERDE ISLANDS,16,35,18,N,24,17,4,W,204,16.588,-24.284
3077,GVSV,VXE,SAO PEDRO,SAO VICENTE ISLAND,CAPE VERDE ISLANDS,16,50,2,N,25,3,24,W,21,16.834,-25.057
3079,HAAB,ADD,BOLE INTERNATIONAL,ADDIS ABABA,ETHIOPIA,8,58,37,N,38,48,0,E,2323,8.977,38.8
3089,HABD,BJR,BAHIR DAR,BAHAR DAR,ETHIOPIA,11,36,29,N,37,19,17,E,1829,11.608,37.321
3100,HADR,DIR,ABA TENNA DEJAZMATCH YILMA INTERNATIONAL,DIRE DAWA,ETHIOPIA,9,37,30,N,41,51,15,E,1143,9.625,41.854
3106,HAGM,GMB,GAMBELLA,GAMBELLA,ETHIOPIA,8,7,42,N,34,33,48,E,485,8.128,34.563
3107,HAGN,GDQ,GONDER,GONDAR,ETHIOPIA,12,31,6,N,37,25,56,E,197,12.518,37.432
3115,HAJM,JIM,ABA SEGUD,JIMMA,ETHIOPIA,7,39,57,N,36,48,59,E,1683,7.666,36.816
3118,HALL,LLI,LALIBELLA,LALIBELLA,ETHIOPIA,11,58,29,N,38,58,47,E,1982,11.975,38.98
3121,HAMK,MQX,MEKELE,MAKALE,ETHIOPIA,13,28,2,N,39,32,0,E,2232,13.467,39.533
3140,HBBA,BJM,BUJUMBURA INTERNATIONAL,BUJUMBURA,BURUNDI,3,19,26,S,29,19,6,E,787,-3.324,29.318
3154,HCMH,HGA,HARGEISA,HARGEISA,SOMALIA,9,31,5,N,44,5,19,E,1349,9.518,44.089
3155,HCMI,BBO,BERBERA,BERBERA,SOMALIA,10,23,21,N,44,56,27,E,10,10.389,44.941
3157,HCMK,KMU,KISIMAYU,KISMAYU,SOMALIA,0,22,38,S,42,27,33,E,15,-0.377,42.459
3159,HCMM,MGQ,MOGADISHU,MOGADISHU,SOMALIA,2,0,49,N,45,18,17,E,10,2.014,45.305
3169,HEAX,ALY,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,EGYPT,31,11,2,N,29,56,56,E,-1,31.184,29.949
3170,HEBL,ABS,ABU SIMBEL,ABU SIMBEL,EGYPT,22,22,33,N,31,36,42,E,188,22.376,31.612
3171,HECA,CAI,CAIRO INTERNATIONAL,CAIRO,EGYPT,30,7,19,N,31,24,20,E,117,30.122,31.406
3174,HEGN,HRG,HURGHADA INTERNATIONAL,HURGHADA,EGYPT,27,11,2,N,33,47,54,E,16,27.184,33.798
3177,HELX,LXR,LUXOR INTERNATIONAL,LUXOR,EGYPT,25,40,15,N,32,42,23,E,90,25.671,32.706
3178,HEMM,MUH,MERSA MATRUH,MERSA-MATRUH,EGYPT,31,19,31,N,27,13,18,E,29,31.325,27.222
3180,HEPS,PSD,PORT SAID,PORT SAID,EGYPT,31,16,46,N,32,14,24,E,3,31.279,32.24
3182,HESC,SKV,ST CATHERINE INTERNATIONAL,ST. CATHERINE,EGYPT,28,41,7,N,34,3,45,E,1332,28.685,34.063
3183,HESN,ASW,ASWAN INTERNATIONAL,ASWAN,EGYPT,23,57,51,N,32,49,11,E,202,23.964,32.82
3184,HETR,ELT,EL TOR,EL-TOR,EGYPT,28,12,32,N,33,38,43,E,36,28.209,33.645
3190,HKEL,EDL,ELDORET INTERNATIONAL,ELDORET,KENYA,0,24,15,N,35,14,17,E,2116,0.404,35.238
3194,HKGA,GAS,GARISSA,GARISSA,KENYA,0,27,48,S,39,38,53,E,145,-0.463,39.648
3202,HKKI,KIS,KISUMU,KISUMU,KENYA,0,5,10,S,34,43,44,E,1209,-0.086,34.729
3206,HKKT,KTL,KITALE,KITALE,KENYA,0,58,19,N,34,57,30,E,1851,0.972,34.958
3209,HKLO,LOK,LODWAR,LODWAR,KENYA,3,7,19,N,35,36,31,E,523,3.122,35.609
3211,HKLU,LAU,LAMU MANDA,LAMU,KENYA,2,15,8,S,40,54,47,E,7,-2.252,40.913
3212,HKLY,LOY,LOYENGALANI,LOYANGALANI,KENYA,2,45,47,N,36,43,6,E,365,2.763,36.718
3213,HKMA,NDE,MANDERA,MANDERA,KENYA,3,56,1,N,41,50,39,E,246,3.934,41.844
3214,HKMB,RBT,MARSABIT,MARSABIT,KENYA,2,20,42,N,37,59,57,E,1340,2.345,37.999
3218,HKML,MYD,MALINDI,MALINDI,KENYA,3,13,45,S,40,6,6,E,25,-3.229,40.102
3219,HKMO,MBA,MOI INTERNATIONAL,MOMBASA,KENYA,4,2,5,S,39,35,39,E,61,-4.035,39.594
3223,HKMY,OYL,MOYALE LOWER,MOYALE LOWER,KENYA,3,28,11,N,39,6,5,E,851,3.47,39.101
3225,HKNI,NYE,NYERI,NYERI,KENYA,0,22,8,S,36,58,48,E,1777,-0.369,36.98
3229,HKNW,WIL,NAIROBI WILSON,NAIROBI,KENYA,1,19,18,S,36,48,53,E,1688,-1.322,36.815
3230,HKNY,NYK,NANYUKI,NANYUKI,KENYA,0,3,39,S,37,2,19,E,1905,-0.061,37.039
3235,HKWJ,WJR,WAJIR,WAJIR,KENYA,1,43,59,N,40,5,29,E,235,1.733,40.091
3238,HLGT,GHT,GHAT,GHAT,LIBYA,25,8,44,N,10,8,33,E,700,25.146,10.143
3239,HLKF,AKF,KUFRA,KUFRA,LIBYA,24,10,43,N,23,18,50,E,417,24.179,23.314
3240,HLLB,BEN,BENINA,BENGHAZI,LIBYA,32,5,48,N,20,16,10,E,132,32.097,20.269
3243,HLLS,SEB,SEBHA,SEBHA,LIBYA,26,59,13,N,14,28,21,E,435,26.987,14.473
3244,HLLT,TIP,TRIPOLI INTERNATIONAL,TRIPOLI,LIBYA,32,39,48,N,13,9,32,E,81,32.663,13.159
3251,HLTD,LTD,GHADAMES EAST,GHADAMES,LIBYA,30,9,6,N,9,42,55,E,342,30.152,9.715
3253,HRYG,GYI,GISENYI,GISENYI,RWANDA,1,40,37,S,29,15,31,E,1554,-1.677,29.259
3257,HRYR,KGL,KIGALI INTERNATIONAL,KIGALI,RWANDA,1,58,7,S,30,8,22,E,1492,-1.969,30.139
3259,HRZA,KME,KAMEMBE,KAMEMBE,RWANDA,2,27,44,S,28,54,28,E,1592,-2.462,28.908
3270,HSDN,DOG,DONGOLA,DONGOLA,SUDAN,19,9,13,N,30,25,48,E,236,19.154,30.43
3272,HSFS,ELF,EL FASHER,EL FASHER,SUDAN,13,36,54,N,25,19,29,E,733,13.615,25.325
3276,HSKA,KSL,KASSALA,KASSALA,SUDAN,15,23,9,N,36,19,41,E,509,15.386,36.328
3289,HSNL,UYL,NYALA,NYALA,SUDAN,12,3,13,N,24,57,19,E,656,12.054,24.955
3293,HSOB,EBD,EL OBEID,EL OBEID,SUDAN,13,9,11,N,30,13,57,E,574,13.153,30.232
3298,HSSJ,JUB,JUBA,JUBA,SUDAN,4,52,19,N,31,36,4,E,460,4.872,31.601
3299,HSSM,MAK,MALAKAL,MALAKAL,SUDAN,9,33,31,N,31,39,9,E,388,9.559,31.652
3300,HSSP,PZU,PORT SUDAN,PORT SUDAN,SUDAN,19,34,35,N,37,12,57,E,4,19.576,37.216
3301,HSSS,KRT,KHARTOUM,KHARTOUM,SUDAN,15,35,22,N,32,33,11,E,385,15.589,32.553
3306,HSWW,WUU,WAU,WAU,SUDAN,7,43,32,N,27,58,46,E,433,7.726,27.979
3311,HTAR,ARK,ARUSHA,ARUSHA,TANZANIA,3,22,4,S,36,38,0,E,1387,-3.368,36.633
3313,HTDA,DAR,DAR ES SALAAM,DAR ES SALAAM,TANZANIA,6,52,41,S,39,12,9,E,56,-6.878,39.203
3314,HTDO,DOD,DODOMA,DODOMA,TANZANIA,6,10,13,S,35,45,9,E,1109,-6.17,35.752
3316,HTIR,IRI,IRINGA,IRINGA,TANZANIA,7,40,7,S,35,45,7,E,1426,-7.669,35.752
3319,HTKJ,JRO,KILIMANJARO INTERNATIONAL,KILIMANJARO,TANZANIA,3,25,45,S,37,4,28,E,894,-3.429,37.074
3334,HTMS,QSI,MOSHI,MOSHI,TANZANIA,3,21,46,S,37,19,24,E,854,-3.363,37.323
3335,HTMT,MYW,MTWARA,MTWARA,TANZANIA,10,20,20,S,40,10,54,E,114,-10.339,40.182
3337,HTMW,MWZ,MWANZA,MWANZA,TANZANIA,2,26,40,S,32,55,57,E,1147,-2.444,32.932
3342,HTPE,PMA,PEMBA,PEMBA,TANZANIA,5,15,26,S,39,48,41,E,25,-5.257,39.811
3351,HTTG,TGT,TANGA,TANGA,TANZANIA,5,5,32,S,39,4,16,E,40,-5.092,39.071
3356,HTZA,ZNZ,ZANZIBAR,ZANZIBAR,TANZANIA,6,13,19,S,39,13,29,E,17,-6.222,39.225
3358,HUEN,EBB,ENTEBBE INTERNATIONAL,ENTEBBE,UGANDA,0,2,32,N,32,26,36,E,1153,0.042,32.443
3371,HUSO,SRT,SOROTI,SOROTI,UGANDA,1,43,39,N,33,37,22,E,1127,1.728,33.623
3380,KABI,ABI,ABILENE RGNL,ABILENE,USA,32,24,40,N,99,40,54,W,546,32.411,-99.682
3382,KACK,ACK,NANTUCKET MEM,NANTUCKET,USA,41,15,10,N,70,3,36,W,15,41.253,-70.06
3383,KACT,ACT,WACO RGNL,WACO,USA,31,36,40,N,97,13,49,W,158,31.611,-97.23
3384,KACY,ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,USA,39,27,27,N,74,34,37,W,23,39.458,-74.577
3385,KADM,ADM,ARDMORE MUNI,ARDMORE,USA,34,18,11,N,97,1,10,W,233,34.303,-97.019
3386,KADW,ADW,ANDREWS AFB,CAMP SPRINGS,USA,38,48,38,N,76,52,1,W,86,38.811,-76.867
3387,KAEX,AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,USA,31,19,38,N,92,32,54,W,28,31.327,-92.548
3389,KAGS,AGS,AUGUSTA RGNL AT BUSH FLD,BUSH FIELD,USA,33,22,11,N,81,57,52,W,44,33.37,-81.964
3390,KAKR,AKR,AKRON FULTON INTERNATIONAL,AKRON,USA,41,2,15,N,81,28,0,W,326,41.038,-81.467
3391,KALB,ALB,ALBANY INTERNATIONAL,ALBANY,USA,42,44,53,N,73,48,10,W,87,42.748,-73.803
3393,KALI,ALI,ALICE INTERNATIONAL,ALICE,USA,27,44,27,N,98,1,37,W,55,27.741,-98.027
3394,KAMA,AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,35,13,9,N,101,42,21,W,1100,35.219,-101.706
3395,KANB,ANB,ANNISTON METROPOLITAN,ANNISTON,USA,33,35,17,N,85,51,29,W,187,33.588,-85.858
3396,KAND,AND,ANDERSON RGNL,ANDERSEN,USA,34,29,42,N,82,42,33,W,239,34.495,-82.709
3397,KAOO,AOO,ALTOONA BLAIR CO,ALTOONA,USA,40,17,47,N,78,19,12,W,459,40.296,-78.32
3398,KAPG,APG,PHILLIPS AAF,ABERDEEN,USA,39,27,58,N,76,10,10,W,18,39.466,-76.169
3399,KARA,ARA,ACADIANA REGIONAL,LOUISIANA,USA,30,2,15,N,91,53,2,W,8,30.038,-91.884
3400,KART,ART,WATERTOWN INTERNATIONAL,WATERTOWN,USA,43,59,30,N,76,1,18,W,100,43.992,-76.022
3401,KATL,ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,USA,33,38,25,N,84,25,37,W,313,33.64,-84.427
3402,KAUG,AUG,AUGUSTA STATE,AUGUSTA,USA,44,19,14,N,69,47,50,W,108,44.321,-69.797
3403,KAUS,AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,USA,30,11,40,N,97,40,11,W,166,30.194,-97.67
3405,KBAB,BAB,BEALE AFB,MARYSVILLE,USA,39,8,9,N,121,26,11,W,35,39.136,-121.436
3406,KBAD,BAD,BARKSDALE AFB,SHREVEPORT,USA,32,30,6,N,93,39,45,W,51,32.502,-93.663
3407,KBCT,BCT,BOCA RATON,BOCA RATON,USA,26,22,42,N,80,6,27,W,4,26.378,-80.107
3408,KBDE,BDE,BAUDETTE INTERNATIONAL,BAUDETTE,USA,48,43,42,N,94,36,44,W,332,48.728,-94.612
3409,KBDL,BDL,BRADLEY INTERNATIONAL,WINDSOR LOCKS,USA,41,56,20,N,72,40,59,W,53,41.939,-72.683
3410,KBDR,BDR,IGOR I SIKORSKY MEM,STRATFORD,USA,41,9,48,N,73,7,34,W,3,41.163,-73.126
3411,KBED,BED,LAURENCE G HANSCOM FLD,BEDFORD,USA,42,28,11,N,71,17,20,W,41,42.47,-71.289
3412,KBFI,BFI,BOEING FLD KING CO INTERNATIONAL,SEATTLE,USA,47,31,47,N,122,18,7,W,6,47.53,-122.302
3413,KBFL,BFL,MEADOWS FLD,BAKERSFIELD,USA,35,26,0,N,119,3,24,W,155,35.433,-119.057
3414,KBFM,BFM,MOBILE DOWNTOWN,MOBILE,USA,30,37,35,N,88,4,4,W,8,30.626,-88.068
3415,KBGR,BGR,BANGOR INTERNATIONAL,BANGOR,USA,44,48,26,N,68,49,41,W,59,44.807,-68.828
3417,KBHM,BHM,BIRMINGHAM INTERNATIONAL,BIRMINGHAM,USA,33,33,46,N,86,45,12,W,197,33.563,-86.753
3418,KBIF,BIF,BIGGS AAF,EL PASO,USA,31,50,58,N,106,22,48,W,1203,31.849,-106.38
3419,KBIX,BIX,KEESLER AFB,BILOXI,USA,30,24,39,N,88,55,25,W,11,30.411,-88.924
3420,KBKF,BKF,BUCKLEY AFB,BUCKLEY,USA,39,42,6,N,104,45,5,W,1726,39.702,-104.751
3421,KBLI,BLI,BELLINGHAM INTERNATIONAL,BELLINGHAM,USA,48,47,33,N,122,32,15,W,52,48.792,-122.537
3422,KBLV,BLV,SCOTT AFB MIDAMERICA,BELLEVILLE,USA,38,32,42,N,89,50,6,W,140,38.545,-89.835
3423,KBNA,BNA,NASHVILLE INTERNATIONAL,NASHVILLE,USA,36,7,28,N,86,40,41,W,183,36.124,-86.678
3425,KBOI,BOI,BOISE AIR TERMINAL,BOISE,USA,43,33,51,N,116,13,22,W,876,43.564,-116.223
3426,KBOS,BOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL,BOSTON,USA,42,21,51,N,71,0,18,W,6,42.364,-71.005
3427,KBPT,BPT,SOUTHEAST TEXAS RGNL,BEAUMONT,USA,29,57,3,N,94,1,14,W,5,29.951,-94.021
3428,KBRO,BRO,BROWNSVILLE SOUTH PADRE ISLAND INTERNATIONAL,BROWNSVILLE,USA,25,54,24,N,97,25,33,W,7,25.907,-97.426
3430,KBTR,BTR,BATON ROUGE METRO RYAN FLD,BATON ROUGE,USA,30,31,59,N,91,8,58,W,22,30.533,-91.149
3431,KBTV,BTV,BURLINGTON INTERNATIONAL,BURLINGTON,USA,44,28,18,N,73,9,11,W,103,44.472,-73.153
3432,KBUF,BUF,BUFFALO NIAGARA INTERNATIONAL,BUFFALO,USA,42,56,25,N,78,43,55,W,221,42.94,-78.732
3433,KBUR,BUR,BURBANK GLENDALE PASADENA,BURBANK,USA,34,12,2,N,118,21,31,W,238,34.201,-118.359
3434,KBWI,BWI,BALTIMORE WASHINGTON INTERNATIONAL,BALTIMORE,USA,39,10,31,N,76,40,6,W,45,39.175,-76.668
3435,KBYH,BYH,ARKANSAS INTERNATIONAL,BLYTHEVILLE,USA,35,57,51,N,89,56,36,W,77,35.964,-89.943
3436,KBYS,BYS,BICYCLE LAKE AAF,FORT IRWIN,USA,35,16,49,N,116,37,48,W,717,35.28,-116.63
3437,KCAE,CAE,COLUMBIA METROPOLITAN,COLOMBIA,USA,33,56,19,N,81,7,10,W,72,33.939,-81.119
3438,KCAR,CAR,CARIBOU MUNI,CARIBOU,USA,46,52,17,N,68,1,4,W,191,46.871,-68.018
3439,KCBM,CBM,COLUMBUS AFB,COLOMBUS,USA,33,38,38,N,88,26,37,W,67,33.644,-88.444
3440,KCDC,CDC,CEDAR CITY RGNL,CEDAR CITY,USA,37,42,3,N,113,5,55,W,1714,37.701,-113.099
3441,KCDS,CDS,CHILDRESS MUNI,CHILDRESS,USA,34,26,1,N,100,17,17,W,596,34.434,-100.288
3442,KCEF,CEF,WESTOVER ARB METROPOLITAN,CHICOPEE FALLS,USA,42,11,53,N,72,32,3,W,75,42.198,-72.534
3443,KCEW,CEW,BOB SIKES,CRESTVIEW,USA,30,46,43,N,86,31,19,W,65,30.779,-86.522
3444,KCFD,CFD,COULTER FLD,BRYAN,USA,30,42,56,N,96,19,52,W,112,30.716,-96.331
3446,KCHA,CHA,LOVELL FLD,CHATTANOOGA,USA,35,2,7,N,85,12,13,W,208,35.035,-85.204
3448,KCHS,CHS,CHARLESTON AFB INTERNATIONAL,CHARLESTON,USA,32,53,55,N,80,2,25,W,14,32.899,-80.04
3449,KCIC,CIC,CHICO MUNI,CHICO,USA,39,47,43,N,121,51,30,W,73,39.795,-121.858
3450,KCLE,CLE,CLEVELAND HOPKINS INTERNATIONAL,CLEVELAND,USA,41,24,42,N,81,50,59,W,242,41.412,-81.85
3451,KCLL,CLL,EASTERWOOD FLD,COLLEGE STATION,USA,30,35,18,N,96,21,49,W,98,30.588,-96.364
3452,KCLT,CLT,CHARLOTTE DOUGLAS INTERNATIONAL,CHARLOTTE,USA,35,12,50,N,80,56,35,W,229,35.214,-80.943
3453,KCMH,CMH,PORT COLUMBUS INTERNATIONAL,COLUMBUS,USA,39,59,52,N,82,53,30,W,249,39.998,-82.892
3454,KCNM,CNM,CAVERN CITY AIR TERMINAL,CARLSBAD,USA,32,20,14,N,104,15,47,W,1005,32.337,-104.263
3455,KCNW,CNW,TSTC WACO,WACO,USA,31,38,16,N,97,4,26,W,144,31.638,-97.074
3456,KCOF,COF,PATRICK AFB,COCO BEACH,USA,28,14,5,N,80,36,36,W,3,28.235,-80.61
3457,KCOS,COS,CITY OF COLORADO SPRINGS MUNI,COLORADO SPRINGS,USA,38,48,20,N,104,42,0,W,1885,38.806,-104.7
3458,KCOT,COT,COTULLA LA SALLE CO,COTULLA,USA,28,27,29,N,99,13,12,W,146,28.458,-99.22
3459,KCOU,COU,COLUMBIA RGNL,COLUMBIA,USA,38,49,5,N,92,13,10,W,271,38.818,-92.219
3460,KCPR,CPR,NATRONA CO INTERNATIONAL,CASPER,USA,42,54,28,N,106,27,51,W,1631,42.908,-106.464
3461,KCRP,CRP,CORPUS CHRISTI INTERNATIONAL,CORPUS CHRISTI,USA,27,46,13,N,97,30,4,W,14,27.77,-97.501
3462,KCTB,CTB,CUT BANK MUNI,CUTBANK,USA,48,36,30,N,112,22,34,W,1175,48.608,-112.376
3464,KCVG,CVG,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL,CINCINNATI,USA,39,2,46,N,84,39,43,W,274,39.046,-84.662
3465,KCVS,CVS,CANNON AFB,CLOVIS,USA,34,22,57,N,103,19,19,W,1310,34.383,-103.322
