,ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Direction,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Direction,Altitude,Latitude Decimal Degrees,Longitude Decimal Degrees
117,CYDL,YDL,DEASE LAKE,DEASE LAKE,CANADA,58,25,20,N,130,1,56,W,793,58.422,-130.032
118,CYDN,YDN,DAUPHIN BARKER,DAUPHIN,CANADA,51,6,3,N,100,3,9,W,305,51.101,-100.052
119,CYDQ,YDQ,DAWSON CREEK,DAWSON CREEK,CANADA,55,44,30,N,120,10,55,W,655,55.742,-120.182
121,CYED,YED,EDMONTON NAMAO,EDMONTON,CANADA,53,40,0,N,113,28,0,W,0,53.667,-113.467
122,CYEG,YEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,53,18,35,N,113,34,47,W,724,53.31,-113.58
123,CYEK,YEK,ARVIAT,ESKIMO POINT,CANADA,61,5,39,N,94,4,15,W,10,61.094,-94.071
124,CYEN,YEN,ESTEVAN,ESTEVAN,CANADA,49,12,37,N,102,57,57,W,581,49.21,-102.966
126,CYET,YET,EDSON,EDSON,CANADA,53,34,44,N,116,27,54,W,927,53.579,-116.465
127,CYEU,YEU,EUREKA,EUREKA,CANADA,79,59,41,N,85,48,48,W,79,79.995,-85.813
128,CYEV,YEV,INUVIK MIKE ZUBKO,INUVIK,CANADA,68,18,15,N,133,28,58,W,69,68.304,-133.483
129,CYFB,YFB,IQALUIT,IQALUIT,CANADA,63,45,23,N,68,33,21,W,34,63.756,-68.556
130,CYFC,YFC,FREDERICTON,FREDERICTON,CANADA,45,52,10,N,66,31,54,W,21,45.869,-66.532
133,CYFO,YFO,FLIN FLON,FLIN FLON,CANADA,54,40,41,N,101,40,54,W,304,54.678,-101.682
134,CYFR,YFR,FORT RESOLUTION,FORT RESOLUTION,CANADA,61,10,51,N,113,41,23,W,161,61.181,-113.69
135,CYFS,YFS,FORT SIMPSON,FORT SIMPSON,CANADA,61,45,37,N,121,14,12,W,170,61.76,-121.237
137,CYGK,YGK,KINGSTON,KINGSTON,CANADA,44,13,31,N,76,35,49,W,93,44.225,-76.597
138,CYGL,YGL,LA GRANDE RIVIERE,LA GRANDE RIVIERE,CANADA,53,37,31,N,77,42,15,W,195,53.625,-77.704
139,CYGP,YGP,GASPE,GASPE,CANADA,48,46,31,N,64,28,43,W,33,48.775,-64.479
140,CYGQ,YGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,CANADA,49,46,42,N,86,56,22,W,349,49.778,-86.939
141,CYGR,YGR,ILES DE LA MADELEINE,ILES DE LA MADELEINE,CANADA,47,25,29,N,61,46,41,W,11,47.425,-61.778
143,CYGW,YGW,KUUJJUARAPIK,KUUJJUARARAPIK,CANADA,55,17,0,N,77,46,0,W,20,55.283,-77.767
144,CYGX,YGX,GILLAM,GILLAM,CANADA,56,21,0,N,94,42,0,W,144,56.35,-94.7
147,CYHB,YHB,HUDSON BAY,HUDSON BAY,CANADA,52,49,0,N,102,18,41,W,359,52.817,-102.311
148,CYHD,YHD,DRYDEN RGNL,DRYDEN,CANADA,49,49,54,N,92,44,39,W,413,49.832,-92.744
150,CYHI,YHI,HOLMAN,HOLMAN ISLAND,CANADA,70,45,47,N,117,48,21,W,36,70.763,-117.806
151,CYHK,YHK,GJOA HAVEN,GJOA HAVEN,CANADA,68,38,8,N,95,50,59,W,47,68.636,-95.85
152,CYHM,YHM,HAMILTON,HAMILTON,CANADA,43,10,23,N,79,56,6,W,238,43.173,-79.935
154,CYHU,YHU,ST HUBERT,MONTREAL,CANADA,45,31,3,N,73,25,1,W,28,45.517,-73.417
155,CYHY,YHY,HAY RIVER,HAY RIVER,CANADA,60,50,23,N,115,46,58,W,166,60.84,-115.783
156,CYHZ,YHZ,HALIFAX INTERNATIONAL,HALIFAX,CANADA,44,52,51,N,63,30,31,W,146,44.881,-63.509
157,CYIB,YIB,ATIKOKAN MUNI,ATIKOKAN,CANADA,48,46,26,N,91,38,19,W,430,48.774,-91.639
158,CYIO,YIO,POND INLET,POND INLET,CANADA,72,41,0,N,77,58,0,W,56,72.683,-77.967
161,CYJN,YJN,ST JEAN,ST. JEAN,CANADA,45,17,40,N,73,16,52,W,42,45.294,-73.281
162,CYJT,YJT,STEPHENVILLE,STEPHENVILLE,CANADA,48,32,39,N,58,33,0,W,26,48.544,-58.55
163,CYKA,YKA,KAMLOOPS,KAMLOOPS,CANADA,50,42,8,N,120,26,31,W,346,50.702,-120.442
164,CYKF,YKF,WATERLOO RGNL,WATERLOO,CANADA,43,27,32,N,80,23,4,W,317,43.459,-80.384
165,CYKL,YKL,SCHEFFERVILLE,SCHEFFERVILLE,CANADA,54,48,18,N,66,48,19,W,521,54.805,-66.805
166,CYKY,YKY,KINDERSLEY,KINDERSLEY,CANADA,51,31,3,N,109,10,51,W,695,51.517,-109.181
167,CYKZ,YKZ,BUTTONVILLE MUNI,TORONTO,CANADA,43,51,44,N,79,22,12,W,199,43.862,-79.37
170,CYLD,YLD,CHAPLEAU,CHAPLEAU,CANADA,47,49,12,N,83,20,47,W,447,47.82,-83.346
171,CYLJ,YLJ,MEADOW LAKE,MEADOW LAKE,CANADA,54,7,31,N,108,31,22,W,481,54.125,-108.523
172,CYLL,YLL,LLOYDMINSTER,LLOYDMINSTER,CANADA,53,18,33,N,110,4,21,W,669,53.309,-110.072
174,CYLT,YLT,ALERT,ALERT,CANADA,82,31,4,N,62,16,50,W,31,82.518,-62.281
175,CYLW,YLW,KELOWNA,KELOWNA,CANADA,49,57,22,N,119,22,40,W,430,49.956,-119.378
177,CYMA,YMA,MAYO,MAYO,CANADA,63,37,0,N,135,52,0,W,504,63.617,-135.867
179,CYMJ,YMJ,MOOSE JAW,MOOSE JAW,CANADA,50,19,49,N,105,33,33,W,577,50.33,-105.559
180,CYMM,YMM,FORT MCMURRAY,FORT MCMURRAY,CANADA,56,39,12,N,111,13,19,W,370,56.653,-111.222
181,CYMO,YMO,MOOSONEE,MOOSONEE,CANADA,51,17,28,N,80,36,28,W,10,51.291,-80.608
183,CYMW,YMW,MANIWAKI,MANIWAKI,CANADA,46,16,28,N,75,59,24,W,201,46.274,-75.99
184,CYMX,YMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,CANADA,45,40,47,N,74,2,19,W,83,45.68,-74.039
185,CYNA,YNA,NATASHQUAN,NATASHQUAN,CANADA,50,11,23,N,61,47,21,W,11,50.19,-61.789
186,CYND,YND,GATINEAU,GATINEAU,CANADA,45,31,17,N,75,33,51,W,65,45.521,-75.564
188,CYNM,YNM,MATAGAMI,MATAGAMI,CANADA,49,45,42,N,77,48,10,W,280,49.762,-77.803
191,CYOC,YOC,OLD CROW,OLD CROW,CANADA,67,34,14,N,139,50,21,W,252,67.571,-139.839
192,CYOD,YOD,COLD LAKE,COLD LAKE,CANADA,54,24,18,N,110,16,46,W,542,54.405,-110.279
193,CYOJ,YOJ,HIGH LEVEL,HIGH LEVEL,CANADA,58,37,17,N,117,9,53,W,339,58.621,-117.165
194,CYOW,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,45,19,21,N,75,40,9,W,114,45.323,-75.669
195,CYPA,YPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,CANADA,53,12,51,N,105,40,22,W,429,53.214,-105.673
196,CYPE,YPE,PEACE RIVER,PEACE RIVER,CANADA,56,13,37,N,117,26,50,W,571,56.227,-117.447
198,CYPG,YPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,CANADA,49,54,10,N,98,16,29,W,270,49.903,-98.275
201,CYPL,YPL,PICKLE LAKE,PICKLE LAKE,CANADA,51,26,47,N,90,12,51,W,387,51.446,-90.214
202,CYPN,YPN,PORT MENIER,PORT MENIER,CANADA,49,50,11,N,64,17,19,W,51,49.836,-64.289
203,CYPQ,YPQ,PETERBOROUGH,PETERBOROUGH,CANADA,44,13,48,N,78,21,48,W,192,44.23,-78.363
204,CYPR,YPR,PRINCE RUPERT,PRINCE PUPERT,CANADA,54,17,10,N,130,26,41,W,36,54.286,-130.445
205,CYPY,YPY,FORT CHIPEWYAN,FORT CHIPEWYAN,CANADA,58,46,2,N,111,7,2,W,232,58.767,-111.117
206,CYQA,YQA,MUSKOKA,MUSKOKA,CANADA,44,58,29,N,79,18,12,W,282,44.975,-79.303
207,CYQB,YQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,CANADA,46,47,18,N,71,23,51,W,75,46.788,-71.398
208,CYQF,YQF,RED DEER REGIONAL,RED DEER INDUSTRIAL,CANADA,52,10,43,N,113,53,35,W,905,52.179,-113.893
209,CYQG,YQG,WINDSOR,WINDSOR,CANADA,42,16,32,N,82,57,20,W,190,42.276,-82.956
210,CYQH,YQH,WATSON LAKE,WATSON LAKE,CANADA,60,7,4,N,128,49,19,W,688,60.118,-128.822
211,CYQK,YQK,KENORA,KENORA,CANADA,49,47,18,N,94,21,47,W,406,49.788,-94.363
212,CYQL,YQL,LETHBRIDGE,LETHBRIDGE,CANADA,49,37,49,N,112,47,59,W,929,49.63,-112.8
