,IATA Code,Airport Name,Latitude Decimal Degrees,Longitude Decimal Degrees,City
186,YYJ,VICTORIA INTERNATIONAL,48.647,-123.426,victoria
187,YYL,LYNN LAKE,56.864,-101.076,lynn lake
188,YYN,SWIFT CURRENT,50.292,-107.691,swift current
189,YYQ,CHURCHILL,58.739,-94.065,churchill
190,YYR,GOOSE BAY,53.319,-60.426,goose bay
191,YYT,ST JOHNS INTERNATIONAL,47.619,-52.752,st. john's
192,YYU,KAPUSKASING,49.414,-82.468,kapuskasing
193,YYW,ARMSTRONG,50.29,-88.91,armstrong
194,YYY,MONT JOLI,48.609,-68.208,mont joli
195,YYZ,LESTER B PEARSON INTERNATIONAL,43.677,-79.631,toronto
196,YZD,DOWNSVIEW,43.742,-79.466,toronto
197,YZE,GORE BAY MANITOULIN,45.885,-82.568,gore bay
198,YZF,YELLOWKNIFE,62.463,-114.44,yellowknife
199,YZH,SLAVE LAKE,55.293,-114.778,slave lake
200,YZP,SANDSPIT,53.254,-131.814,sandspit
201,YZR,CHRIS HADFIELD,42.999,-82.309,sarnia
202,YZT,PORT HARDY,50.681,-127.367,port hardy
203,YZU,WHITECOURT,54.144,-115.787,whitecourt
204,YZV,SEPT ILES,50.223,-66.266,sept-iles
205,YZW,TESLIN,60.173,-132.743,teslin
206,YZX,GREENWOOD,44.984,-64.917,greenwood
207,ZFA,FARO,62.208,-133.376,faro
208,ZFM,FORT MCPHERSON,67.408,-134.86,fort mcpherson
209,BJA,SOUMMAM,36.712,5.07,bejaja
210,ALG,HOUARI BOUMEDIENE,36.691,3.215,algier
211,DJG,TISKA,24.293,9.452,djanet
212,VVZ,ILLIZI,26.573,8.484,illizi
213,GSF,SETIF AIN ARNAT,36.178,5.324,setif
214,TMR,TAMANRASSET,22.811,5.451,tamanrasset
215,GJL,JIJEL,36.795,5.873,jijel
216,AAE,ANNABA,36.822,7.809,annaba
217,CZL,MOHAMED BOUDIAF INTERNATIONAL,36.277,6.624,constantine
218,TEE,CHEIKH LARBI TEBESSI,35.431,8.121,tebessa
219,HRM,HASSI R MEL,32.93,3.312,tilrempt
220,TID,BOU CHEKIF,35.341,1.463,tiaret
221,TIN,TINDOUF,27.7,-8.167,tindouf
222,QAS,ECH CHELIFF,36.213,1.332,ech-cheliff
223,TAF,TAFARAOUI,35.542,-0.532,oran
224,TLM,ZENATA,35.017,-1.45,tlemcen
225,ORN,ES SENIA,35.624,-0.621,oran
226,MUW,GHRISS,35.208,0.147,ghriss
227,AZR,TOUAT CHEIKH SIDI MOHAMED BELKEBIR,27.837,-0.186,adrar
228,BSK,BISKRA,34.793,5.738,biskra
229,ELG,EL GOLEA,30.571,2.859,el golea
230,GHA,NOUMERATE,32.384,3.794,ghardaia
231,HME,OUED IRARA,31.673,6.14,hassi-messaoud
232,INZ,IN SALAH,27.251,2.512,in salah
233,TGR,SIDI MAHDI,33.068,6.089,touggourt
234,LOO,LAGHOUAT,33.764,2.927,laghouat
235,TMX,TIMIMOUN,29.237,0.276,timimoun
236,OGX,OUARGLA,31.917,5.413,ouargla
237,IAM,IN AMENAS,28.051,9.643,zarzaitine
238,COO,COTONOU CADJEHOUN,6.357,2.384,cotonou
239,PKO,PARAKOU,9.357,2.609,parakou
240,OUA,OUAGADOUGOU,12.353,-1.512,ouagadougou
241,BOY,BOBO DIOULASSO,11.16,-4.331,bobo-dioulasso
242,ACC,KOTOKA INTERNATIONAL,5.603,-0.168,accra
243,TML,TAMALE,9.563,-0.863,tamale
244,NYI,SUNYANI,7.362,-2.329,sunyani
245,TKD,TAKORADI,4.893,-1.775,takoradi
246,ABJ,ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL,5.26,-3.926,abidjan
247,BYK,BOUAKE,7.739,-5.074,bouake
248,DJO,DALOA,6.792,-6.473,daloa
249,HGO,KORHOGO,9.387,-5.556,korhogo
250,MJC,MAN,7.272,-7.587,man
251,SPY,SAN PEDRO,4.747,-6.661,san pedro
252,ASK,YAMOUSSOUKRO,6.903,-5.366,yamoussoukro
253,ABV,ABUJA NNAMDI AZIKIWE INTERNATIONAL,9.007,7.263,abuja
254,AKR,AKURE,7.247,5.301,akure
255,BNI,BENIN,6.317,5.599,benin
256,CBQ,CALABAR,4.976,8.347,calabar
257,ENU,ENUGU,6.474,7.562,enugu
258,QUS,GUSAU,12.172,6.696,gusau
259,IBA,IBADAN,7.362,3.978,ibadan
260,ILR,ILORIN,8.44,4.494,ilorin
261,JOS,JOS,9.64,8.869,jos
262,KAD,KADUNA,10.696,7.32,kaduna
263,KAN,KANO MALLAM AMINU INTERNATIONAL,12.047,8.524,kano
264,MIU,MAIDUGURI,11.855,13.081,maiduguri
265,MDI,MAKURDI,7.704,8.614,makurdi
266,LOS,LAGOS MURTALA MUHAMMED,6.577,3.321,lagos
267,MXJ,MINNA NEW,9.652,6.462,minna
268,PHC,PORT HARCOURT INTERNATIONAL,5.015,6.949,port hartcourt
269,SKO,SADIQ ABUBAKAR III INTERNATIONAL,12.916,5.207,sokoto
270,YOL,YOLA,9.26,12.43,yola
271,ZAR,ZARIA,11.13,7.686,zaria
272,MFG,MARADI,13.502,7.127,maradi
273,NIM,DIORI HAMANI,13.481,2.184,niamey
274,THZ,TAHOUA,14.876,5.265,tahoua
275,AJY,MANU DAYAK,16.965,7.997,agadez
276,ZND,ZINDER,13.779,8.984,zinder
277,MIR,HABIB BOURGUIBA INTERNATIONAL,35.758,10.755,monastir
278,TUN,CARTHAGE,36.851,10.227,tunis
279,GAF,GAFSA,34.422,8.822,gafsa
280,GAE,GABES,33.877,10.103,gabes
281,DJE,ZARZIS,33.875,10.775,djerba
282,EBM,EL BORMA,31.704,9.254,el borma
283,SFA,THYNA,34.718,10.691,sfax
284,TOE,NEFTA,33.94,8.111,tozeur
285,LRL,NIAMTOUGOU,9.767,1.091,niatougou
286,LFW,LOME TOKOIN,6.166,1.254,lome
287,ANR,DEURNE,51.19,4.463,antwerp
288,BRU,BRUSSELS NATL,50.902,4.499,brussels
289,CRL,BRUSSELS SOUTH,50.459,4.454,charleroi
290,QKT,WEVELGEM,50.818,3.208,kortrijk-vevelgem
291,LGG,LIEGE,50.637,5.443,liege
292,OST,OOSTENDE,51.199,2.862,ostend
293,BBJ,BAUTZEN,51.193,14.52,bautzen
294,AOC,ALTENBURG NOBITZ,50.982,12.506,altenburg
295,GWW,GOLDSBORO WAYNE MUNI,35.461,-77.965,gotha ost
296,SXF,SCHONEFELD,52.38,13.523,berlin
297,DRS,DRESDEN,51.133,13.767,dresden
298,ERF,ERFURT,50.98,10.958,erfurt
299,FRA,FRANKFURT MAIN,50.026,8.543,frankfurt
300,FMO,MUNSTER OSNABRUCK,52.134,7.685,muenster/osnabrueck
301,HAM,HAMBURG,53.63,9.988,hamburg
302,THF,TEMPELHOF,52.473,13.404,berlin
303,CGN,KOLN BONN,50.866,7.143,cologne
304,DUS,DUSSELDORF,51.289,6.767,duesseldorf
305,MUC,MUNICH,48.354,11.786,munich
306,NUE,NURNBERG,49.499,11.078,nuernberg
307,LEJ,LEIPZIG HALLE,51.424,12.236,leipzig
308,SCN,SAARBRUCKEN,49.214,7.109,saarbruecken
309,STR,STUTTGART,48.69,9.222,stuttgart
310,TXL,TEGEL,52.559,13.287,berlin
311,HAJ,HANNOVER,52.461,9.685,hannover
312,BRE,BREMEN,53.047,8.787,bremen
313,HHN,FRANKFURT HAHN,49.95,7.264,hahn
314,MHG,MANNHEIM CITY,49.473,8.514,mannheim
315,XFW,HAMBURG FINKENWERDER,53.535,9.835,hamburg
316,KEL,KIEL HOLTENAU,54.379,10.145,kiel
317,LBC,LUBECK BLANKENSEE,53.805,10.719,luebeck
318,AAH,AACHEN MERZBRUCK,50.823,6.187,aachen
319,ZCA,ARNSBERG MENDEN,51.483,7.899,arnsberg
320,ESS,ESSEN MULHEIM,51.401,6.936,essen
321,MGL,MONCHENGLADBACH,51.23,6.504,moenchengladbach
322,PAD,PADERBORN LIPPSTADT,51.614,8.616,paderborn
323,DTM,DORTMUND,51.518,7.612,dortmund
324,AGB,AUGSBURG,48.425,10.932,augsburg
325,OBF,OBERPFAFFENHOFEN,48.081,11.283,oberpfaffenhofen
326,FDH,FRIEDRICHSHAFEN,47.671,9.511,friedrichshafen
327,SZW,SCHWERIN PARCHIM,53.427,11.783,parchim
328,BYU,BAYREUTH,49.984,11.638,bayreuth
329,HOQ,HOF PLAUEN,50.289,11.855,hof
330,ZNV,KOBLENZ WINNINGEN,50.325,7.531,koblenz
331,ZQF,TRIER FOHREN,49.863,6.789,trier
332,ZQC,SPEYER,49.302,8.451,speyer
333,ZCC,BADEN OOS,48.791,8.187,baden-baden
334,ZQL,DONAUESCHINGEN VILLINGEN,47.973,8.522,donaueschingen
335,BWE,BRAUNSCHWEIG,52.319,10.556,braunschweig
336,KSF,KASSEL CALDEN,51.408,9.378,kassel
337,BRV,BREMERHAVEN,53.503,8.573,bremerhaven
338,LEM,LEMWERDER,53.143,8.623,lemwerder
339,EME,EMDEN,53.391,7.227,emden
340,WVN,WILHELMSHAVEN MARIENSIEL,53.505,8.053,wilhelmshaven
341,BMK,BORKUM,53.595,6.709,borkum
342,NRD,NORDERNEY,53.707,7.23,norderney
343,GWT,WESTERLAND SYLT,54.913,8.34,westerland
344,TLL,TALLINN,59.413,24.833,tallinn-ulemiste international
345,ENF,ENONTEKIO,68.362,23.424,enontekio
346,KEV,HALLI,61.856,24.786,halli
347,HEM,HELSINKI MALMI,60.254,25.043,helsinki
348,HEL,HELSINKI VANTAA,60.32,24.956,helsinki
349,IVL,IVALO,68.607,27.405,ivalo
350,JOE,JOENSUU,62.659,29.624,joensuu
351,JYV,JYVASKYLA,62.399,25.678,jyvaskyla
352,KAU,KAUHAVA,63.127,23.051,kauhava
353,KEM,KEMI TORNIO,65.782,24.599,kemi
354,KAJ,KAJAANI,64.285,27.692,kajaani
355,KOK,KRUUNUPYY,63.721,23.143,kruunupyy
356,KAO,KUUSAMO,65.987,29.239,kuusamo
357,KTT,KITTILA,67.701,24.847,kittila
358,KUO,KUOPIO,63.007,27.798,kuopio
359,LPP,LAPPEENRANTA,61.044,28.144,lappeenranta
360,MHQ,MARIEHAMN,60.122,19.898,mariehamn
361,MIK,MIKKELI,61.686,27.202,mikkeli
362,OUL,OULU,64.93,25.354,oulu
363,POR,PORI,61.462,21.8,pori
364,RVN,ROVANIEMI,66.565,25.83,rovaniemi
365,SVL,SAVONLINNA,61.943,28.945,savonlinna
366,SOT,SODANKYLA,67.395,26.619,sodankyla
367,TMP,TAMPERE PIRKKALA,61.414,23.604,tampere
368,TKU,TURKU,60.514,22.263,turku
369,QVY,UTTI,60.896,26.938,utti
370,VAA,VAASA,63.051,21.761,vaasa
371,VRK,VARKAUS,62.171,27.869,varkaus
372,BFS,ALDERGROVE,54.657,-6.216,belfast
373,ENK,ST ANGELO,54.399,-7.652,enniskillen
374,BHD,CITY,54.618,-5.873,belfast
375,LDY,LONDONDERRY EGLINTON,55.043,-7.161,londonderry
376,BHX,BIRMINGHAM,52.454,-1.748,birmingham
377,CVT,COVENTRY,52.37,-1.48,coventry
378,GLO,GLOUCESTERSHIRE,51.894,-2.167,golouchestershire
379,MAN,MANCHESTER,53.354,-2.275,manchester
380,NQY,ST MAWGAN,50.441,-4.995,newquai
381,LYE,LYNEHAM,51.505,-1.993,lyneham
382,YEO,YEOVILTON,51.009,-2.639,yeovilton
383,CWL,CARDIFF,51.397,-3.343,cardiff
384,SWS,SWANSEA,51.605,-4.068,swansea
385,BRS,BRISTOL,51.383,-2.719,bristol
386,LPL,LIVERPOOL,53.334,-2.85,liverpool
387,LTN,LUTON,51.874,-0.368,london
388,PLH,PLYMOUTH,50.423,-4.106,plymouth
389,BOH,BOURNEMOUTH,50.78,-1.843,bournemouth
390,SOU,SOUTHAMPTON,50.95,-1.357,southampton
391,QLA,LASHAM,51.185,-1.032,lasham
392,GCI,GUERNSEY,49.435,-2.602,guernsey
393,JER,JERSEY,49.208,-2.195,jersey
394,ESH,SHOREHAM,50.836,-0.297,shoreham by sea
395,BQH,BIGGIN HILL,51.331,0.033,biggin hill
396,LGW,GATWICK,51.148,-0.19,london
397,LCY,CITY,51.505,0.054,london
398,FAB,FARNBOROUGH,51.276,-0.776,farnborough
399,BBS,BLACKBUSHE,51.324,-0.848,blackbushe
400,LHR,HEATHROW,51.477,-0.461,london
401,SEN,SOUTHEND,51.571,0.696,southend
402,LYX,LYDD,50.956,0.939,lydd
403,MSE,MANSTON,51.342,1.346,manston
404,CAX,CARLISLE,54.938,-2.809,carlisle
405,BLK,BLACKPOOL,53.772,-3.029,blackpool
406,HUY,HUMBERSIDE,53.574,-0.351,humberside
407,BWF,WALNEY ISLAND,54.13,-3.256,barrow island
408,LBA,LEEDS BRADFORD,53.866,-1.661,leeds
409,CEG,HAWARDEN,53.178,-2.978,hawarden
410,IOM,ISLE OF MAN,54.083,-4.624,isle of man
411,NCL,NEWCASTLE,55.038,-1.692,newcastle
412,MME,TEESSIDE,54.509,-1.429,teesside
413,EMA,EAST MIDLANDS,52.831,-1.328,east midlands
414,KOI,KIRKWALL,58.958,-2.905,kirkwall
415,LSI,SUMBURGH,59.879,-1.296,sumburgh
416,WIC,WICK,58.459,-3.093,wick
417,ABZ,DYCE,57.204,-2.2,aberdeen
418,INV,INVERNESS,57.54,-4.05,inverness
419,GLA,GLASGOW,55.872,-4.433,glasgow
420,EDI,EDINBURGH,55.95,-3.373,edinburgh
421,ILY,ISLAY,55.682,-6.257,islay
422,PIK,PRESTWICK,55.508,-4.587,prestwick
423,BEB,BENBECULA,57.481,-7.363,benbecula
424,SDZ,SCATSTA,60.432,-1.298,scatsta
425,DND,DUNDEE,56.453,-3.026,dundee
426,SYY,STORNOWAY,58.214,-6.329,stornoway
427,TRE,TIREE,56.499,-6.869,tiree
428,ADX,LEUCHARS,56.373,-2.868,leuchars
429,LMO,LOSSIEMOUTH,57.705,-3.339,lossiemouth
430,CBG,CAMBRIDGE,52.205,0.175,cambridge
431,NWI,NORWICH,52.676,1.283,norwich
432,STN,STANSTED,51.885,0.235,london
433,EXT,EXETER,50.734,-3.414,exeter
434,FZO,BRISTOL FILTON,51.519,-2.591,bristol
435,HTF,HATFIELD,51.767,0.25,hatfield
436,OXF,KIDLINGTON,51.837,-1.32,oxford
437,MHZ,MILDENHALL,52.361,0.488,mildenhall
438,FFD,FAIRFORD,51.682,-1.79,fairford
439,BZZ,BRIZE NORTON,51.75,-1.584,brize norton
440,ODH,ODIHAM,51.234,-0.943,odiham
441,NHT,NORTHOLT RAF,51.553,-0.418,northolt
442,QCY,CONINGSBY,53.093,-0.166,coningsby
443,BEQ,HONINGTON,52.343,0.773,honington
444,WTN,WADDINGTON,53.166,-0.524,waddington
445,CLF,COLTISHALL,52.755,1.357,coltishall
446,KNF,MARHAM,52.648,0.55,marham
447,MPN,MOUNT PLEASANT,-51.823,-58.447,mount pleasant
448,AMS,SCHIPHOL,52.309,4.764,amsterdam
449,MST,MAASTRICHT,50.911,5.77,maastricht
450,EIN,EINDHOVEN,51.45,5.374,eindhoven
451,GRQ,EELDE,53.119,6.579,groningen
452,DHR,DE KOOY,52.923,4.781,de kooy
453,LWR,LEEUWARDEN,53.229,5.761,leeuwarden
454,RTM,ROTTERDAM,51.957,4.442,rotterdam
455,UTC,SOESTERBERG,52.127,5.276,soesterberg
456,ENS,TWENTHE,52.27,6.874,enschede
457,LID,VALKENBURG,52.17,4.426,valkenburg
458,WOE,WOENSDRECHT,51.449,4.342,woensdrecht
459,ORK,CORK,51.843,-8.492,cork
460,GWY,GALWAY,53.301,-8.939,galway
461,DUB,DUBLIN,53.421,-6.27,dublin
462,NOC,CONNAUGHT,53.91,-8.818,connaught
463,KIR,KERRY,52.181,-9.524,kerry
464,SNN,SHANNON,52.702,-8.925,shannon
465,SXL,SLIGO,54.28,-8.599,sligo
466,WAT,WATERFORD,52.187,-7.087,waterford
467,AAR,AARHUS,56.304,10.619,aarhus
468,BLL,BILLUND,55.74,9.152,billund
469,CPH,KASTRUP,55.618,12.656,copenhagen
470,EBJ,ESBJERG,55.526,8.553,esbjerg
471,KRP,KARUP,56.297,9.124,karup
472,ODE,ODENSE,55.476,10.329,odense
473,RKE,ROSKILDE,55.586,12.131,copenhagen
474,RNN,BORNHOLM RONNE,55.063,14.759,ronne
475,SGD,SONDERBORG,54.964,9.792,soenderborg
476,SKS,SKRYDSTRUP,55.225,9.264,skrydstrup
477,TED,THISTED,57.069,8.705,thisted
478,FAE,VAGAR,62.064,-7.277,vagar
479,STA,STAUNING,55.99,8.354,stauning
480,AAL,AALBORG,57.093,9.849,aalborg
481,LUX,FINDEL INTERNATIONAL AIRPORT,49.626,6.211,luxemburg
482,AES,VIGRA,62.56,6.11,alesund
483,ANX,ANDOYA,69.293,16.144,andoya
484,ALF,ALTA,69.977,23.366,alta
485,BNN,BRONNOY,65.459,12.214,bronnoysund
486,BOO,BODO,67.269,14.363,bodoe
487,BGO,BERGEN FLESLAND,60.293,5.218,bergen
488,BJF,BATSFJORD,70.6,29.692,batsfjord
489,KRS,KRISTIANSAND KJEVIK,58.204,8.085,kristiansand
490,BDU,BARDUFOSS,69.056,18.54,bardufoss
491,EVE,EVENES,68.491,16.678,evenes
492,FBU,OSLO FORNEBU,59.896,10.617,oslo
493,VDB,FAGERNES LEIRIN,61.011,9.293,fagernes
494,FRO,FLORO,61.584,5.025,floro
495,OSL,OSLO GARDERMOEN,60.194,11.1,oslo
496,HMR,STAFSBERG,60.818,11.067,hamar
497,HAU,HAUGESUND KARMOY,59.345,5.208,haugesund
498,HAA,HASVIK,70.487,22.14,hasvik
499,KSU,KRISTIANSUND KVERNBERGET,63.112,7.824,kristiansund
500,KKN,KIRKENES HOYBUKTMOEN,69.725,29.887,kirkenes
501,FAN,LISTA,58.1,6.625,lista
502,MOL,ARO,62.746,7.272,molde
503,MJF,KJAERSTAD,65.784,13.215,mosjoen
504,LKL,BANAK,70.069,24.973,banak
505,OLA,ORLAND,63.699,9.604,orland
506,RRS,ROEROS,62.578,11.342,roros
507,LYR,SVALBARD LONGYEAR,78.246,15.466,svalbard
508,SOG,SOGNDAL HAUKASEN,61.156,7.136,sogndal
509,SKE,SKIEN GEITERYGGEN,59.185,9.567,skien
510,SRP,SOERSTOKKEN,59.792,5.341,stord
511,SOJ,SORKJOSEN,69.787,20.959,sorkjosen
512,SSJ,STOKKA,65.957,12.469,sandnessjoen
513,TOS,TROMSO,69.683,18.919,tromso
514,TRF,TORP,59.187,10.259,torp
515,TRD,TRONDHEIM VAERNES,63.458,10.94,trondheim
516,SVG,STAVANGER SOLA,58.877,5.638,stavanger
517,GDN,REBIECHOWO,54.377,18.466,gdansk
518,KRK,BALICE JP II INTERNATIONAL AIRPORT,50.078,19.785,krakow
519,KTW,PYRZOWICE,50.474,19.08,katowice
520,POZ,LAWICA,52.421,16.826,poznan
521,RZE,JASIONKA,50.11,22.019,rzeszow
522,SZZ,GOLENIOW,53.585,14.902,szczechin
523,OSP,REDZIKOWO,54.479,17.108,slupsk
524,WAW,OKECIE,52.166,20.967,warsaw
525,WRO,STRACHOWICE,51.102,16.886,wroclaw
526,IEG,BABIMOST,52.139,15.799,zielona gora
527,AGH,ANGELHOLM,56.296,12.847,angelholm
528,RNB,RONNEBY,56.267,15.265,ronneby
529,GOT,LANDVETTER,57.663,12.28,gothenborg
530,JKG,JONKOPING,57.758,14.069,joenkoeping
531,LDK,LIDKOPING,58.465,13.174,lidkoping
532,GSE,SAVE,57.775,11.87,gothenborg
533,KVB,SKOVDE,58.456,13.973,skovde
534,THN,TROLLHATTAN VANERSBORG,58.318,12.345,trollhattan
535,KSK,KARLSKOGA,59.346,14.496,karlskoga
536,MXX,MORA,60.958,14.511,mora
537,NYO,SKAVSTA,58.789,16.912,stockholm
538,KID,KRISTIANSTAD,55.922,14.085,kristianstad
539,JLD,LANDSKRONA,55.945,12.861,landskrona
540,OSK,OSKARSHAMN,57.35,16.498,oskarshamn
541,KLR,KALMAR,56.685,16.288,kalkmar
542,MMX,STURUP,55.53,13.371,malmoe
543,HAD,HALMSTAD,56.691,12.82,halmstad
544,VXO,KRONOBERG,56.929,14.728,vaxjo
545,EVG,SVEG,62.048,14.423,sveg
546,GEV,GALLIVARE,67.132,20.814,gallivare
547,HUV,HUDIKSVALL,61.768,17.081,hudiksvall
548,KRF,KRAMFORS SOLLEFTEA,63.048,17.769,kramfors
549,LYC,LYCKSELE,64.548,18.716,lycksele
550,SDL,SUNDSVALL HARNOSAND,62.528,17.444,sundsvall
551,OER,ORNSKOLDSVIK,63.408,18.99,ornskoldsvik
552,KRN,KIRUNA,67.822,20.337,kiruna
553,SFT,SKELLEFTEA,64.625,21.077,skelleftea
554,UME,UMEA,63.792,20.282,umea
555,VHM,VILHELMINA,64.579,16.833,vilhelmina
556,AJR,ARVIDSJAUR,65.59,19.282,arvidsjaur
557,ORB,OREBRO,59.224,15.038,orebro
558,VST,VASTERAS,59.589,16.634,vasteras
559,LLA,KALLAX,65.544,22.122,lulea
560,OSD,FROSON,63.194,14.502,ostersund
561,ARN,ARLANDA,59.652,17.919,stockholm
562,BMA,BROMMA,59.354,17.941,stockholm
563,BLE,BORLANGE,60.422,15.515,borlange
564,HLF,HULTSFRED,57.526,15.824,hultsfred
565,GVX,GAVLE SANDVIKEN,60.593,16.951,gavle
566,LPI,SAAB,58.406,15.68,linkoeping
567,NRK,KUNGSANGEN,58.586,16.251,norrkoeping
568,VBY,VISBY,57.663,18.346,visby
569,SPM,SPANGDAHLEM AB,49.973,6.692,spangdahlem
570,RMS,RAMSTEIN AB,49.438,7.601,ramstein
571,GHF,GIEBELSTADT AAF,49.648,9.966,giebelstadt
572,ZCN,CELLE,52.591,10.022,celle
573,ZNF,HANAU AAF,50.169,8.961,hanau
574,QHD,HEIDELBERG AAF,49.393,8.652,heidelberg
575,GKE,GEILENKIRCHEN,50.961,6.042,geilenkirchen
576,RLG,LAAGE,53.918,12.279,laage
577,FEL,FURSTENFELDBRUCK,48.206,11.267,fuerstenfeldbruck
578,LRC,LAARBRUCH,51.602,6.143,laarbruch
579,GUT,GUTERSLOH,51.923,8.306,guetersloh
580,BGN,BRUGGEN,51.2,6.132,brueggen
581,ALJ,ALEXANDER BAY,-28.575,16.533,alexander bay
582,AGZ,AGGENEYS,-29.282,18.814,aggeneys
583,VIY,BISHO,-32.897,27.279,bisho
584,BFN,BLOEMFONTEIN,-29.092,26.302,bloemfontein
585,CPT,CAPE TOWN INTERNATIONAL,-33.965,18.602,cape town
586,DUR,DURBAN INTERNATIONAL,-29.97,30.95,durban
587,ELS,EAST LONDON,-33.036,27.826,east london
588,ELL,ELLISRAS,-23.726,27.688,ellisras
589,GCJ,GRAND CENTRAL,-25.986,28.14,johannesburg
590,GRJ,GEORGE,-34.005,22.379,george
591,HCS,RAND,-26.242,28.151,johannesburg
592,GHC,HEIDELBERG,-26.506,28.394,heidelberg
593,HDS,HOEDSPRUIT AFS,-24.369,31.049,hoedspruit
594,JNB,JOHANNESBURG INTERNATIONAL,-26.139,28.246,johannesburg
595,KIM,KIMBERLEY,-28.803,24.765,kimberley
596,KLZ,KLEINSEE,-29.688,17.094,kleinsee
597,HLA,LANSERIA,-25.938,27.926,johannesburg
598,LCD,LOUIS TRICHARDT AFB,-23.16,29.696,louis trichardt
599,LAY,LADYSMITH,-28.582,29.75,ladysmith
600,MGH,MARGATE,-30.857,30.343,margate
601,MFK,MAFIKENG NORTH,-25.753,25.612,mafikeng
602,MBO,MAFIKENG,-25.798,25.548,mmabatho
603,MEZ,MESSINA,-22.356,29.986,messina
604,NCS,NEWCASTLE,-27.771,29.977,newcastle
605,NLP,NELSPRUIT,-25.501,30.913,nelspruit
606,DUH,OUDTSHOORN,-33.607,22.189,oudtshoorn
607,PLZ,PORT ELIZABETH,-33.985,25.617,port elizabeth
608,PHW,PHALABORWA,-23.937,31.155,phalaborwa
609,PTG,PIETERSBURG MUNI,-23.926,29.484,pietersburg
610,PZB,PIETERMARITZBURG,-29.649,30.399,pietermaritzburg
611,NTY,PILANESBERG,-25.334,27.173,pilanesberg
612,UTW,QUEENSTOWN,-31.92,26.882,queenstown
613,RCB,RICHARDS BAY,-28.741,32.092,richard's bay
614,SBU,SPRINGBOK,-29.689,17.939,springbok
615,SIS,SISHEN,-27.648,22.999,sishen
616,SZK,SKUKUZA,-24.961,31.589,skukuza
617,THY,P R MPHEPHU,-23.079,30.383,thohoyandou
618,TCU,THABA NCHU,-29.319,26.823,thaba nchu
619,LTA,TZANEEN,-23.824,30.329,tzaneen
620,ULD,PRINCE MANGOSUTHU BUTHELEZI,-28.321,31.416,ulundi
621,UTN,UPINGTON,-28.401,21.261,upington
622,UTT,UMTATA,-31.548,28.674,umtata
623,VRU,VRYBURG,-26.982,24.729,vryburg
624,VIR,VIRGINIA,-29.771,31.058,durban
625,VYD,VRYHEID,-27.787,30.795,vryheid
626,PRY,WONDERBOOM,-25.654,28.224,pretoria
627,WEL,WELKOM,-27.998,26.669,welkom
628,FRW,FRANCISTOWN,-21.159,27.474,francistown
629,JWA,JWANENG,-24.602,24.691,jwaneng
630,BBK,KASANE,-17.833,25.162,kasane
631,MUB,MAUN,-19.972,23.431,maun
632,ORP,ORAPA,-21.266,25.32,orapa
633,GBE,SIR SERETSE KHAMA INTERNATIONAL,-24.555,25.918,gaberone
634,PKW,SELEBI PHIKWE,-22.058,27.829,selebi-phikwe
635,BZV,BRAZZAVILLE MAYA MAYA,-4.252,15.253,brazzaville
636,ION,IMPFONDO,1.589,18.047,impfondo
637,MKJ,MAKOUA,-0.021,15.575,makoua
638,FTX,OWANDO,-0.531,15.95,owando
639,OUE,OUESSO,1.616,16.038,ouesso
640,KMK,MAKABANA,-3.483,12.617,makabana
641,DIS,DOLISIE,-4.208,12.661,loudima
642,PNR,POINTE NOIRE,-4.813,11.886,pointe-noire
643,MTS,MATSAPHA,-26.529,31.308,manzini
644,BGF,BANGUI M POKO,4.398,18.519,bangui
645,BGU,BANGASSOU,4.784,22.781,bangassou
646,IRO,BIRAO,10.236,22.717,birao
647,BBY,BAMBARI,5.847,20.649,bambari
648,NDL,NDELE,8.427,20.635,n'dele
649,BOP,BOUAR,5.958,15.637,bouar
650,BIV,BRIA,6.528,21.989,bria
651,BBT,BERBERATI,4.221,15.786,berberati
652,AIG,YALINGA,45.154,-89.111,yalinga
653,BSG,BATA,1.905,9.806,bata
654,SSG,MALABO,3.755,8.709,malabo
655,MRU,SIR SEEWOOSAGUR RAMGOOLAM INTERNATIONAL,-20.43,57.683,plaisance
656,RRG,PLAINE CORAIL,-19.758,63.362,rodriguez island
657,TKC,TIKO,4.089,9.36,tiko
658,DLA,DOUALA,4.006,9.719,douala
659,OUR,BATOURI,4.473,14.364,batouri
660,MVR,MAROUA SALAK,10.451,14.257,maroua
661,FOM,FOUMBAN NKOUNJA,5.637,10.751,foumban
662,NGE,NGAOUNDERE,7.357,13.559,n'gaoundere
663,GOU,GAROUA,9.336,13.37,garoua
664,BFX,BAFOUSSAM,5.537,10.354,bafoussam
665,BPC,BAMENDA,6.039,10.123,bamenda
666,YAO,YAOUNDE,3.835,11.524,yaounde
667,LVI,LIVINGSTONE,-17.822,25.822,livingstone
668,LUN,LUSAKA INTERNATIONAL,-15.331,28.453,lusaka
669,MFU,MFUWE,-13.259,31.936,mfuwe
670,NLA,NDOLA,-12.998,28.665,ndola
671,KIW,SOUTHDOWNS,-12.9,28.15,southdowns
672,HAH,MORONI HAHAIA,-11.534,43.272,moroni
673,NWA,MOHELI BANDAR ES SALAM,-12.298,43.766,moheli
674,YVA,MORONI ICONI,-11.711,43.244,moroni
675,AJN,ANJOUAN OUANI,-12.132,44.43,anjouan
